"","x"
"2599",60838836.978562
"2600",60745838.1400283
"2601",59915036.9681824
"2602",60073642.2384942
"2603",59209823.2243426
"2604",61451363.9450675
"2605",58907591.6741362
"2606",61187466.0125276
"2607",58772131.0189264
"2608",60789022.569979
"2609",60065069.8221478
"2610",60957109.2537289
"2611",59423240.3313187
"2612",59323375.3695955
"2613",59070336.13192
"2614",60890747.0910515
"2615",61537129.7871379
"2616",59988366.8055017
"2617",59772232.4552824
"2618",60516809.4231884
"2619",59913090.2734468
"2620",60884822.9235228
"2621",60619252.7556199
"2622",61099830.0855088
"2623",59481243.8542248
"2624",60048023.4458695
"2625",60999358.3203462
"2626",60765640.8619326
"2627",60439984.9840075
"2628",60422938.9746153
"2629",60939858.5200548
"2630",61257528.6971715
"2631",59903232.5709039
"2632",59188543.0392396
"2633",60220447.1901131
"2634",60050140.292786
"2635",59720825.4643168
"2636",61574070.6101289
"2637",61952900.8704849
"2638",61484721.1708183
"2639",59700274.860808
"2640",60400771.3533794
"2641",61489964.886002
"2642",61030934.6840821
"2643",60857009.7373718
"2644",60139951.179538
"2645",59675726.5149846
"2646",60797055.9320721
"2647",59761878.9514361
"2648",61406365.4238659
"2649",61119217.1428187
"2650",59412874.5596207
"2651",60083086.1409865
"2652",61038273.8532889
"2653",60896896.5605888
"2654",61683756.7361917
"2655",59647779.8412572
"2656",60577746.0703984
"2657",60837757.40057
"2658",61109192.8439952
"2659",60264903.0363478
"2660",61499612.2707801
"2661",60843671.9038736
"2662",59775079.9022838
"2663",59669570.7478637
"2664",60708086.6551283
"2665",58256711.6602067
"2666",60713377.5930239
"2667",59744992.0925085
"2668",60203558.9750582
"2669",62036454.2186115
"2670",61376703.2915008
"2671",60013945.0767127
"2672",60901435.2437122
"2673",59453081.4230472
"2674",60124349.1617072
"2675",60496016.3191691
"2676",59067055.3310433
"2677",60756711.0162198
"2678",60411845.1066985
"2679",60546801.6389405
"2680",57768423.3069905
"2681",60300483.4747759
"2682",60541937.8298109
"2683",60732088.1342063
"2684",60489542.3045556
"2685",60013363.5192742
"2686",60771414.6983953
"2687",60750418.7960767
