Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Date,IFNULLSign,Table Name,ValueNumberSigns,DateAdd,Raw Value,ScaledValue,Suffix,Value
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/04/2022,,owner_occupier_1,,1/05/2017,12098,12.098,k,12098
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/05/2022,,owner_occupier_1,,1/06/2017,14954,14.954,k,14954
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/06/2022,,owner_occupier_1,,1/07/2017,14801,14.801,k,14801
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/07/2022,,owner_occupier_1,,1/08/2017,12780,12.78,k,12780
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/08/2022,,owner_occupier_1,,1/09/2017,12639,12.639,k,12639
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/09/2022,,owner_occupier_1,,1/10/2017,11266,11.266,k,11266
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/10/2022,,owner_occupier_1,,1/11/2017,11441,11.441,k,11441
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/11/2022,,owner_occupier_1,,1/12/2017,12416,12.416,k,12416
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/12/2022,,owner_occupier_1,,1/01/2018,10921,10.921,k,10921
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/01/2023,,owner_occupier_1,,1/02/2018,8736,8.736,k,8736
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/02/2023,,owner_occupier_1,,1/03/2018,10866,10.866,k,10866
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/03/2023,,owner_occupier_1,,1/04/2018,11807,11.807,k,11807
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/04/2023,,owner_occupier_1,,1/05/2018,9557,9.557,k,9557
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/05/2023,,owner_occupier_1,,1/06/2018,13307,13.307,k,13307
